Discovered 1223 test files (0 tests) under ['tests']; running with -j 64
[  0.0% |     0/0 | ✓7 | ✗0] ✓ tests/agent/lsp/test_broken_set.py (7✓, 2.4s)
[  0.0% |     0/0 | ✓12 | ✗ 0] ✓ tests/acp_adapter/test_detect_provider_entra.py (5✓, 2.9s)
[  0.0% |     0/0 | ✓17 | ✗ 0] ✓ tests/agent/lsp/test_backend_gate.py (5✓, 3.2s)
[  0.0% |     0/0 | ✓24 | ✗ 0] ✓ tests/agent/test_copilot_acp_client.py (7✓, 3.3s)
[  0.0% |     0/0 | ✓29 | ✗ 0] ✓ tests/agent/lsp/test_service.py (5✓, 3.5s)
[  0.0% |     0/0 | ✓41 | ✗ 0] ✓ tests/agent/test_anthropic_keychain.py (12✓, 3.5s)
[  0.0% |     0/0 | ✓47 | ✗ 0] ✓ tests/agent/test_async_utils.py (6✓, 3.5s)
[  0.0% |     0/0 | ✓48 | ✗ 0] ✓ tests/agent/test_curator_activity.py (1✓, 3.5s)
[  0.0% |     0/0 | ✓50 | ✗ 0] ✓ tests/agent/test_codex_responses_adapter.py (2✓, 3.7s)
[  0.0% |     0/0 | ✓52 | ✗ 0] ✓ tests/agent/test_anthropic_oauth_pkce.py (2✓, 3.8s)
[  0.0% |     0/0 | ✓59 | ✗ 0] ✓ tests/acp/test_approval_isolation.py (7✓, 3.8s)
[  0.0% |     0/0 | ✓67 | ✗ 0] ✓ tests/agent/lsp/test_lifecycle.py (8✓, 4.0s)
[  0.0% |     0/0 | ✓71 | ✗ 0] ✓ tests/agent/test_compress_focus.py (4✓, 3.9s)
[  0.0% |     0/0 | ✓73 | ✗ 0] ✓ tests/agent/test_bedrock_1m_context.py (2✓, 4.1s)
[  0.0% |     0/0 | ✓79 | ✗ 0] ✓ tests/acp/test_registry_manifest.py (6✓, 4.2s)
[  0.0% |     0/0 | ✓81 | ✗ 0] ✓ tests/agent/test_context_compressor_summary_continuity.py (2✓, 4.3s)
[  0.0% |     0/0 | ✓93 | ✗ 0] ✓ tests/agent/lsp/test_workspace.py (12✓, 4.5s)
[  0.0% |     0/0 | ✓103 | ✗  0] ✓ tests/agent/lsp/test_reporter.py (10✓, 4.5s)
[  0.0% |     0/0 | ✓108 | ✗  0] ✓ tests/agent/test_crossloop_client_cache.py (5✓, 4.6s)
[  0.0% |     0/0 | ✓114 | ✗  0] ✓ tests/agent/lsp/test_client_e2e.py (6✓, 4.7s)
[  0.0% |     0/0 | ✓125 | ✗  0] ✓ tests/agent/test_anthropic_mcp_prefix_strip.py (11✓, 4.7s)
[  0.0% |     0/0 | ✓143 | ✗  0] ✓ tests/agent/lsp/test_delta_key.py (18✓, 4.8s)
[  0.0% |     0/0 | ✓152 | ✗  0] ✓ tests/acp/test_ping_suppression.py (9✓, 5.2s)
[  0.0% |     0/0 | ✓164 | ✗  0] ✓ tests/agent/test_compressor_image_tokens.py (12✓, 5.2s)
[  0.0% |     0/0 | ✓182 | ✗  0] ✓ tests/agent/lsp/test_protocol.py (18✓, 5.2s)
[  0.0% |     0/0 | ✓201 | ✗  0] ✓ tests/agent/test_context_engine.py (19✓, 5.8s)
[  0.0% |     0/0 | ✓218 | ✗  0] ✓ tests/agent/test_arcee_trinity_overrides.py (17✓, 6.0s)
[  0.0% |     0/0 | ✓228 | ✗  0] ✓ tests/acp/test_auth.py (10✓, 6.3s)
[  0.0% |     0/0 | ✓234 | ✗  0] ✓ tests/acp_adapter/test_acp_commands.py (6✓, 6.4s)
[  0.0% |     0/0 | ✓244 | ✗  0] ✓ tests/agent/test_curator_reports.py (10✓, 4.1s)
[  0.0% |     0/0 | ✓262 | ✗  0] ✓ tests/agent/lsp/test_eventlog.py (18✓, 6.7s)
[  0.0% |     0/0 | ✓274 | ✗  0] ✓ tests/agent/lsp/test_install_and_lint_fixes.py (12✓, 6.7s)
[  0.0% |     0/0 | ✓288 | ✗  0] ✓ tests/agent/test_copilot_acp_deprecation.py (14✓, 6.7s)
[  0.0% |     0/0 | ✓291 | ✗  0] ✓ tests/agent/test_auxiliary_client_anthropic_custom.py (3✓, 6.8s)
[  0.0% |     0/0 | ✓300 | ✗  0] ✓ tests/acp/test_permissions.py (9✓, 7.0s)
[  0.0% |     0/0 | ✓306 | ✗  0] ✓ tests/agent/test_external_skills_dirs_cache.py (6✓, 3.3s)
[  0.0% |     0/0 | ✓325 | ✗  0] ✓ tests/acp/test_events.py (19✓, 7.2s)
[  0.0% |     0/0 | ✓335 | ✗  0] ✓ tests/acp/test_entry.py (10✓, 7.3s)
[  0.0% |     0/0 | ✓344 | ✗  0] ✓ tests/agent/test_deepseek_anthropic_thinking.py (9✓, 4.3s)
[  0.0% |     0/0 | ✓358 | ✗  0] ✓ tests/agent/test_context_references.py (14✓, 7.5s)
[  0.0% |     0/0 | ✓368 | ✗  0] ✓ tests/agent/test_credential_pool_routing.py (10✓, 7.6s)
[  0.0% |     0/0 | ✓378 | ✗  0] ✓ tests/agent/test_display_emoji.py (10✓, 4.3s)
[  0.0% |     0/0 | ✓397 | ✗  0] ✓ tests/agent/test_auxiliary_config_bridge.py (19✓, 7.8s)
[  0.0% |     0/0 | ✓405 | ✗  0] ✓ tests/acp_adapter/test_acp_images.py (8✓, 7.9s)
[  0.0% |     0/0 | ✓414 | ✗  0] ✓ tests/agent/test_auxiliary_client_azure_foundry.py (9✓, 7.9s)
[  0.0% |     0/0 | ✓425 | ✗  0] ✓ tests/agent/test_gemini_schema.py (11✓, 3.4s)
[  0.0% |     0/0 | ✓428 | ✗  0] ✓ tests/agent/test_custom_provider_extra_body.py (3✓, 5.3s)
[  0.0% |     0/0 | ✓443 | ✗  0] ✓ tests/agent/test_auxiliary_main_first.py (15✓, 8.3s)
[  0.0% |     0/0 | ✓468 | ✗  0] ✓ tests/agent/test_curator_backup.py (25✓, 8.3s)
[  0.0% |     0/0 | ✓486 | ✗  0] ✓ tests/agent/test_file_safety.py (18✓, 4.5s)
[  0.0% |     0/0 | ✓499 | ✗  0] ✓ tests/agent/lsp/test_shell_linter_lsp_skip.py (13✓, 8.6s)
[  0.0% |     0/0 | ✓510 | ✗  0] ✓ tests/agent/test_external_skills.py (11✓, 4.9s)
[  0.0% |     0/0 | ✓521 | ✗  0] ✓ tests/agent/lsp/test_diagnostics_field.py (11✓, 8.7s)
[  0.0% |     0/0 | ✓548 | ✗  0] ✓ tests/agent/test_compressor_historical_media.py (27✓, 8.9s)
[  0.0% |     0/0 | ✓558 | ✗  0] ✓ tests/agent/test_image_gen_registry.py (10✓, 4.3s)
[  0.0% |     0/0 | ✓574 | ✗  0] ✓ tests/agent/test_file_safety_cross_profile.py (16✓, 4.9s)
[  0.0% |     0/0 | ✓577 | ✗  0] ✓ tests/agent/test_direct_provider_url_detection.py (3✓, 5.8s)
[  0.0% |     0/0 | ✓588 | ✗  0] ✓ tests/agent/test_gemini_native_adapter.py (11✓, 4.8s)
[  0.0% |     0/0 | ✓590 | ✗  0] ✓ tests/agent/test_last_total_tokens.py (2✓, 4.2s)
[  0.0% |     0/0 | ✓610 | ✗  0] ✓ tests/agent/test_file_safety_credentials.py (20✓, 6.2s)
[  0.0% |     0/0 | ✓649 | ✗  0] ✓ tests/agent/test_azure_identity_adapter.py (39✓, 10.2s)
[  0.0% |     0/0 | ✓661 | ✗  0] ✓ tests/agent/test_memory_session_switch.py (12✓, 4.0s)
[  0.0% |     0/0 | ✓685 | ✗  0] ✓ tests/agent/test_display_todo_progress.py (24✓, 7.0s)
[  0.0% |     0/0 | ✓700 | ✗  0] ✓ tests/agent/test_markdown_tables.py (15✓, 4.6s)
[  0.0% |     0/0 | ✓708 | ✗  0] ✓ tests/acp/test_edit_approval.py (8✓, 10.8s)
[  0.0% |     0/0 | ✓725 | ✗  0] ✓ tests/agent/test_kimi_coding_anthropic_thinking.py (17✓, 5.7s)
[  0.0% |     0/0 | ✓747 | ✗  0] ✓ tests/agent/test_gemini_free_tier_gate.py (22✓, 6.6s)
[  0.0% |     0/0 | ✓750 | ✗  0] ✓ tests/agent/test_nous_oauth_401_guidance.py (3✓, 3.7s)
[  0.0% |     0/0 | ✓774 | ✗  0] ✓ tests/agent/test_display_tool_failure.py (24✓, 7.5s)
[  0.0% |     0/0 | ✓781 | ✗  0] ✓ tests/agent/test_gemini_fast_fallback.py (7✓, 6.9s)
[  0.0% |     0/0 | ✓827 | ✗  0] ✓ tests/agent/test_curator_classification.py (46✓, 11.4s)
[  0.0% |     0/0 | ✓835 | ✗  0] ✓ tests/acp/test_mcp_e2e.py (8✓, 11.5s)
[  0.0% |     0/0 | ✓844 | ✗  0] ✓ tests/agent/test_minimax_auxiliary_url.py (9✓, 4.9s)
[  0.0% |     0/0 | ✓857 | ✗  0] ✓ tests/agent/test_codex_cloudflare_headers.py (13✓, 11.5s)
[  0.0% |     0/0 | ✓888 | ✗  0] ✓ tests/agent/test_display.py (31✓, 8.4s)
[  0.0% |     0/0 | ✓902 | ✗  0] ✓ tests/agent/test_prompt_caching.py (14✓, 3.8s)
[  0.0% |     0/0 | ✓911 | ✗  0] ✓ tests/agent/test_model_metadata_ssl.py (9✓, 5.0s)
[  0.0% |     0/0 | ✓917 | ✗  0] ✓ tests/agent/test_portal_tags.py (6✓, 4.2s)
[  0.0% |     0/0 | ✓923 | ✗  0] ✓ tests/agent/test_skill_commands_reload.py (6✓, 3.5s)
[  0.0% |     0/0 | ✓938 | ✗  0] ✓ tests/agent/test_proxy_and_url_validation.py (15✓, 4.8s)
[  0.0% |     0/0 | ✓959 | ✗  0] ✓ tests/agent/test_auxiliary_transport_autodetect.py (21✓, 13.5s)
[  0.0% |     0/0 | ✓962 | ✗  0] ✓ tests/agent/test_tool_result_classification.py (3✓, 2.7s)
[  0.0% |     0/0 | ✓977 | ✗  0] ✓ tests/agent/test_skill_utils.py (15✓, 5.4s)
[  0.0% |     0/0 | ✓987 | ✗  0] ✓ tests/agent/test_system_prompt_restore.py (10✓, 4.2s)
[  0.0% |     0/0 | ✓997 | ✗  0] ✓ tests/agent/test_video_gen_registry.py (10✓, 3.1s)
[  0.0% |     0/0 | ✓1018 | ✗   0] ✓ tests/agent/test_streaming_context_scrubber.py (21✓, 5.4s)
[  0.0% |     0/0 | ✓1040 | ✗   0] ✓ tests/agent/test_model_metadata_local_ctx.py (22✓, 7.9s)
[  0.0% |     0/0 | ✓1061 | ✗   0] ✓ tests/agent/test_subagent_progress.py (21✓, 5.4s)
[  0.0% |     0/0 | ✓1109 | ✗   0] ✓ tests/agent/test_curator.py (48✓, 14.9s)
[  0.0% |     0/0 | ✓1111 | ✗   0] ✓ tests/agent/test_vision_resolved_args.py (2✓, 3.6s)
[  0.0% |     0/0 | ✓1143 | ✗   0] ✓ tests/agent/test_nous_rate_guard.py (32✓, 7.8s)
[  0.0% |     0/0 | ✓1156 | ✗   0] ✓ tests/agent/test_tool_guardrails.py (13✓, 4.7s)
[  0.0% |     0/0 | ✓1197 | ✗   0] ✓ tests/acp/test_session.py (41✓, 15.5s)
[  0.0% |     0/0 | ✓1236 | ✗   0] ✓ tests/agent/test_local_stream_timeout.py (39✓, 9.7s)
[  0.0% |     0/0 | ✓1247 | ✗   0] ✓ tests/agent/test_usage_pricing.py (11✓, 4.6s)
[  0.0% |     0/0 | ✓1280 | ✗   0] ✓ tests/agent/test_onboarding.py (33✓, 8.4s)
[  0.0% |     0/0 | ✓1312 | ✗   0] ✓ tests/agent/test_models_dev.py (32✓, 9.0s)
[  0.0% |     0/0 | ✓1321 | ✗   0] ✓ tests/agent/transports/test_argo_tools_mcp_server.py (9✓, 4.3s)
[  0.0% |     0/0 | ✓1345 | ✗   0] ✓ tests/agent/test_rate_limit_tracker.py (24✓, 7.9s)
[  0.0% |     0/0 | ✓1353 | ✗   0] ✓ tests/agent/test_save_url_image.py (8✓, 7.9s)
[  0.0% |     0/0 | ✓1378 | ✗   0] ✓ tests/agent/test_subdirectory_hints.py (25✓, 6.6s)
[  0.0% |     0/0 | ✓1401 | ✗   0] ✓ tests/agent/test_shell_hooks_consent.py (23✓, 8.1s)
[  0.0% |     0/0 | ✓1430 | ✗   0] ✓ tests/agent/test_auxiliary_named_custom_providers.py (29✓, 16.8s)
[  0.0% |     0/0 | ✓1472 | ✗   0] ✓ tests/agent/test_moonshot_schema.py (42✓, 9.8s)
[  0.0% |     0/0 | ✓1479 | ✗   0] ✓ tests/agent/test_subagent_stop_hook.py (7✓, 7.7s)
[  0.0% |     0/0 | ✓1498 | ✗   0] ✓ tests/agent/transports/test_bedrock_transport.py (19✓, 5.3s)
[  0.0% |     0/0 | ✓1500 | ✗   0] ✓ tests/argo_cli/test_anthropic_oauth_flow.py (2✓, 2.6s)
[  0.0% |     0/0 | ✓1527 | ✗   0] ✓ tests/agent/test_transcription_registry.py (27✓, 6.4s)
[  0.0% |     0/0 | ✓1597 | ✗   0] ✓ tests/acp/test_tools.py (70✓, 17.6s)
[  0.0% |     0/0 | ✓1611 | ✗   0] ✓ tests/agent/test_memory_user_id.py (14✓, 11.2s)
[  0.0% |     0/0 | ✓1615 | ✗   0] ✓ tests/argo_cli/test_apply_profile_override.py (4✓, 2.9s)
[  0.0% |     0/0 | ✓1648 | ✗   0] ✓ tests/agent/test_skill_bundles.py (33✓, 9.2s)
[  0.0% |     0/0 | ✓1675 | ✗   0] ✓ tests/agent/test_tool_dispatch_helpers.py (27✓, 7.4s)
